iter	RMSE
0	1.952757684
1	1.902987235
2	1.85888828
3	1.81534843
4	1.780561011
5	1.752490666
6	1.725081599
7	1.703826528
8	1.685394778
9	1.666989314
10	1.654973187
11	1.642348615
12	1.633941061
13	1.626620693
14	1.617248663
15	1.610142171
16	1.603164514
17	1.598341403
18	1.593452857
19	1.588969853
20	1.583898846
21	1.58012064
22	1.577827733
23	1.57404912
24	1.571972421
25	1.568523345
26	1.566035437
27	1.564192447
28	1.561885851
29	1.559534849
30	1.558087378
31	1.555256053
32	1.553564871
33	1.551311351
34	1.548199397
35	1.546809137
36	1.545507591
37	1.543287802
38	1.541088549
39	1.540324901
40	1.539343204
41	1.538215944
42	1.536531831
43	1.53395549
44	1.53217773
45	1.531545096
46	1.52974027
47	1.528606154
48	1.527144787
49	1.525573228
50	1.524997325
51	1.524460135
52	1.524162232
53	1.523909951
54	1.522527864
55	1.521468239
56	1.520953314
57	1.520759498
58	1.520556242
59	1.520520836
60	1.519882363
61	1.51807555
62	1.517118085
63	1.516480398
64	1.515354996
65	1.514282672
66	1.514183134
67	1.512883247
68	1.512842003
69	1.510622767
70	1.510456482
71	1.510232552
72	1.51018772
73	1.51008811
74	1.508790593
75	1.508489358
76	1.507629977
77	1.505571089
78	1.505162812
79	1.504401167
80	1.50435348
81	1.504319085
82	1.501863282
83	1.501797824
84	1.500719902
85	1.500697237
86	1.500461026
87	1.500346082
88	1.500328607
89	1.498492368
90	1.498470905
91	1.49844412
92	1.498428196
93	1.498341719
94	1.498317405
95	1.498131839
96	1.498053116
97	1.496716381
98	1.496669583
99	1.496533362
100	1.496494604
101	1.49609186
102	1.495582908
103	1.495446315
104	1.495432371
105	1.494199595
106	1.494124684
107	1.49362776
108	1.493571055
109	1.493421778
110	1.491882423
111	1.491855277
112	1.491395871
113	1.491376299
114	1.491106381
115	1.491092158
116	1.490104606
117	1.490022679
118	1.490000639
119	1.4899367
120	1.489863066
121	1.489784139
122	1.489752624
123	1.489717973
124	1.488686144
125	1.488667684
126	1.487933185
127	1.486477541
128	1.486460661
129	1.486445143
130	1.486426125
131	1.486290452
132	1.486273986
133	1.486256636
134	1.486240729
135	1.486018239
136	1.485711396
137	1.485696017
138	1.485469767
139	1.484622964
140	1.484605915
141	1.484588243
142	1.484530291
143	1.484226946
144	1.484214454
145	1.48401037
146	1.483945966
147	1.483932343
148	1.483917606
149	1.483894574
150	1.483838121
151	1.483561112
152	1.483426712
153	1.483349637
154	1.483337041
155	1.481492846
156	1.479212276
157	1.478821055
158	1.477068742
159	1.476778053
160	1.476427591
161	1.475271316
162	1.475246129
163	1.474985013
164	1.473782253
165	1.473648476
166	1.472471597
167	1.472201039
168	1.471038985
169	1.471026868
170	1.47078282
171	1.470771469
172	1.470480121
173	1.470158067
174	1.470092392
175	1.469682817
176	1.468767265
177	1.468520151
178	1.467517781
179	1.465950436
180	1.464564845
181	1.464415737
182	1.464405002
183	1.464200738
184	1.464136127
185	1.463044272
186	1.462966993
187	1.462956747
188	1.461669826
189	1.461589569
190	1.461579332
191	1.460789319
192	1.460752437
193	1.459813261
194	1.459801541
195	1.458938653
196	1.458927017
197	1.458781408
198	1.458771732
199	1.457488516
200	1.457463788
201	1.456581938
202	1.456481444
203	1.456418799
204	1.456388441
205	1.456070637
206	1.454611927
207	1.454600904
208	1.454518919
209	1.452788322
210	1.452653658
211	1.451225502
212	1.451210588
213	1.449368957
214	1.448299628
215	1.447299171
216	1.447233864
217	1.447164867
218	1.446548972
219	1.445298504
220	1.445286094
221	1.443041546
222	1.442267661
223	1.441321228
224	1.441193124
225	1.440368887
226	1.440288343
227	1.440139173
228	1.439519986
229	1.439164413
230	1.439154302
231	1.439113831
232	1.438029327
233	1.437996278
234	1.437882812
235	1.437771536
236	1.43764281
237	1.43661702
238	1.436459032
239	1.43558115
240	1.434561805
241	1.434551322
242	1.433761204
243	1.433694169
244	1.433668364
245	1.432816599
246	1.432067025
247	1.431572826
248	1.431240778
249	1.431078206
250	1.430171265
251	1.430161592
252	1.430148735
253	1.429829462
254	1.428961883
255	1.428869756
256	1.428121262
257	1.427828008
258	1.427283117
259	1.426497151
260	1.426036695
261	1.425116571
262	1.424988801
263	1.424147236
264	1.422930073
265	1.422801038
266	1.42237426
267	1.421542721
268	1.420731839
269	1.419743132
270	1.418401784
271	1.417850835
272	1.416735689
273	1.416726281
274	1.415731853
275	1.415086208
276	1.414351497
277	1.413951414
278	1.413327573
279	1.413106423
280	1.412493346
281	1.412037482
282	1.411954449
283	1.411944795
284	1.411102048
285	1.41092101
286	1.410869585
287	1.41086226
288	1.410425378
289	1.409734561
290	1.409213714
291	1.408153564
292	1.40814365
293	1.407207207
294	1.406716038
295	1.406189467
296	1.406112047
297	1.404991608
298	1.404473677
299	1.404073778
