iter	Passed	Remaining
0	51	15301
1	54	8080
2	57	5687
3	61	4515
4	63	3743
5	65	3205
6	67	2816
7	69	2521
8	70	2288
9	72	2105
10	74	1951
11	76	1826
12	77	1716
13	79	1623
14	81	1541
15	82	1468
16	84	1405
17	86	1347
18	87	1296
19	89	1250
20	90	1207
21	92	1168
22	94	1134
23	95	1102
24	97	1074
25	99	1047
26	101	1021
27	102	996
28	104	974
29	105	953
30	107	933
31	109	914
32	110	897
33	112	880
34	114	864
35	115	849
36	117	834
37	119	823
38	122	817
39	124	808
40	126	797
41	128	789
42	133	799
43	136	795
44	138	784
45	141	781
46	143	770
47	145	763
48	147	754
49	151	757
50	154	753
51	155	743
52	157	734
53	159	725
54	160	716
55	162	708
56	164	699
57	165	689
58	167	685
59	169	676
60	170	668
61	172	661
62	174	654
63	175	647
64	177	643
65	179	636
66	181	629
67	182	622
68	184	616
69	185	610
70	187	604
71	188	597
72	190	591
73	191	585
74	193	579
75	194	574
76	196	568
77	198	563
78	199	558
79	201	553
80	202	548
81	203	542
82	205	537
83	207	532
84	209	528
85	210	524
86	212	519
87	214	516
88	215	511
89	217	507
90	218	502
91	220	497
92	221	492
93	222	487
94	224	483
95	226	481
96	230	481
97	231	477
98	233	473
99	235	471
100	237	467
101	239	464
102	240	460
103	242	456
104	243	451
105	244	447
106	246	444
107	247	440
108	249	437
109	251	433
110	252	430
111	254	426
112	255	423
113	256	419
114	258	415
115	259	411
116	261	408
117	262	405
118	264	402
119	268	402
120	270	399
121	272	396
122	273	393
123	275	390
124	276	387
125	278	384
126	280	381
127	281	378
128	283	375
129	284	372
130	286	369
131	287	366
132	289	363
133	290	360
134	292	357
135	294	355
136	296	352
137	298	350
138	300	348
139	302	345
140	304	343
141	305	340
142	307	337
143	309	334
144	310	331
145	311	328
146	313	326
147	315	323
148	316	321
149	318	318
150	320	316
151	324	315
152	325	312
153	327	310
154	329	308
155	331	306
156	333	303
157	335	301
158	336	298
159	338	296
160	339	293
161	341	290
162	343	288
163	344	285
164	346	283
165	347	280
166	349	278
167	350	275
168	352	273
169	354	270
170	355	268
171	358	267
172	360	264
173	361	261
174	363	259
175	365	257
176	367	255
177	369	253
178	371	251
179	374	249
180	376	247
181	377	244
182	379	242
183	380	240
184	382	237
185	384	235
186	385	232
187	386	230
188	388	228
189	390	225
190	391	223
191	393	221
192	394	218
193	396	216
194	397	214
195	399	211
196	401	209
197	402	207
198	404	205
199	405	202
200	407	200
201	409	198
202	410	196
203	412	194
204	414	191
205	416	189
206	419	188
207	421	186
208	423	184
209	425	182
210	427	180
211	429	178
212	430	175
213	432	173
214	434	171
215	435	169
216	437	167
217	438	165
218	440	162
219	442	160
220	443	158
221	445	156
222	447	154
223	448	152
224	450	150
225	452	148
226	453	145
227	455	143
228	456	141
229	458	139
230	459	137
231	461	135
232	463	133
233	464	131
234	466	128
235	467	126
236	469	124
237	470	122
238	472	120
239	473	118
240	475	116
241	477	114
242	478	112
243	482	110
244	484	108
245	487	106
246	488	104
247	490	102
248	492	100
249	494	98
250	496	96
251	498	94
252	499	92
253	501	90
254	503	88
255	504	86
256	506	84
257	508	82
258	510	80
259	512	78
260	516	77
261	518	75
262	520	73
263	521	71
264	523	69
265	525	67
266	526	65
267	527	63
268	529	61
269	531	59
270	532	57
271	534	55
272	535	52
273	537	50
274	538	48
275	540	46
276	541	44
277	543	43
278	544	41
279	546	39
280	547	37
281	549	35
282	550	33
283	552	31
284	553	29
285	555	27
286	556	25
287	558	23
288	559	21
289	561	19
290	562	17
291	564	15
292	565	13
293	567	11
294	568	9
295	570	7
296	571	5
297	573	3
298	575	1
299	577	0
